SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	300
BEGIN_DATA
272	C8	62.50	52.26	70.29	0.00	0.054211	0.066320	0.079247	0.099067	0.113290	0.119711	0.123995	0.126504	0.126190	0.124721	0.130563	0.158138	0.213342	0.254997	0.251373	0.227738	0.201627	0.170479	0.139701	0.120889	0.124116	0.156750	0.194890	0.217320	0.228914	0.235465	0.241631	0.252109	0.265150	0.272233	0.270369	0.263158	0.251735	0.245660	0.253630	0.281373
273	C9	37.50	28.99	42.99	0.00	0.146212	0.169660	0.202513	0.259606	0.306310	0.325030	0.328160	0.326133	0.322931	0.318111	0.320306	0.347702	0.402761	0.445717	0.445403	0.423035	0.396117	0.363282	0.328783	0.306745	0.309853	0.346447	0.389437	0.417159	0.433420	0.443850	0.452956	0.464754	0.477973	0.485192	0.484989	0.480883	0.471862	0.467593	0.474863	0.499151
274	C10	12.50	9.33	15.33	0.00	0.302364	0.348360	0.419733	0.554956	0.674037	0.715313	0.706481	0.688565	0.677162	0.668712	0.662561	0.673852	0.701461	0.723584	0.721265	0.705720	0.689293	0.668545	0.645895	0.633219	0.634332	0.654404	0.676754	0.693326	0.707246	0.719324	0.730352	0.740975	0.751029	0.757436	0.760947	0.762605	0.761934	0.763106	0.766864	0.778610
275	C11	75.00	66.12	84.18	0.00	0.032289	0.040394	0.047386	0.057775	0.064145	0.068758	0.073014	0.074682	0.074577	0.072751	0.077088	0.098598	0.140688	0.168492	0.161845	0.142235	0.121694	0.098054	0.075803	0.063035	0.066067	0.092961	0.126383	0.146038	0.155311	0.160323	0.165287	0.175176	0.187806	0.194271	0.192276	0.185288	0.173329	0.167681	0.175055	0.203405
276	C12	87.50	81.92	100.00	0.00	0.019582	0.024787	0.029405	0.034692	0.037409	0.039510	0.041269	0.042606	0.042880	0.042007	0.045998	0.063344	0.094824	0.113003	0.104382	0.088181	0.072651	0.055506	0.040066	0.032174	0.034903	0.053884	0.076909	0.088712	0.094259	0.097251	0.100967	0.109392	0.121276	0.127672	0.125450	0.118045	0.107034	0.101586	0.108877	0.135493
253	D1	0.00	80.00	80.00	0.00	0.060309	0.055326	0.054120	0.060271	0.065505	0.066603	0.065736	0.063895	0.061642	0.058062	0.059214	0.073783	0.104635	0.128963	0.131496	0.128087	0.126091	0.120616	0.112104	0.108981	0.138821	0.266216	0.468738	0.636618	0.734121	0.783779	0.809946	0.825060	0.835189	0.842793	0.849623	0.855983	0.863520	0.867928	0.869879	0.873073
254	D2	80.00	0.00	80.00	0.00	0.042040	0.058302	0.074442	0.093590	0.106023	0.111762	0.116887	0.122568	0.129395	0.135667	0.155334	0.217005	0.346401	0.469445	0.487201	0.434851	0.364789	0.290451	0.223244	0.178284	0.154740	0.142838	0.133868	0.128853	0.128341	0.129446	0.132825	0.141406	0.153294	0.159213	0.156956	0.149514	0.138331	0.132778	0.140411	0.167099
255	D3	80.00	80.00	0.00	0.00	0.070471	0.105662	0.148134	0.208727	0.263884	0.298258	0.320174	0.321177	0.299682	0.270375	0.237779	0.209545	0.180785	0.150388	0.121952	0.100316	0.082822	0.063776	0.047140	0.039298	0.044027	0.069999	0.102770	0.122013	0.131233	0.135930	0.140704	0.150505	0.162985	0.169163	0.167338	0.159998	0.148131	0.142191	0.149869	0.177208
256	D4	0.00	0.00	0.00	90.00	0.033071	0.039205	0.045449	0.053344	0.057505	0.058451	0.058799	0.057528	0.057064	0.056988	0.056748	0.056663	0.056392	0.056021	0.055272	0.054609	0.054330	0.053781	0.053074	0.053152	0.053196	0.053316	0.053597	0.054320	0.055137	0.056420	0.057740	0.059178	0.060739	0.061968	0.063363	0.064680	0.066345	0.068136	0.069926	0.071868
257	D5	90.00	85.34	85.34	0.00	0.020251	0.031812	0.038971	0.046998	0.053306	0.056915	0.060869	0.061770	0.060281	0.058091	0.059735	0.074043	0.099502	0.110021	0.097776	0.081322	0.066552	0.049928	0.035413	0.028166	0.030847	0.049217	0.069679	0.079537	0.083825	0.086474	0.090080	0.098568	0.110610	0.116801	0.114610	0.107506	0.096666	0.090888	0.098732	0.125528
