CGATS.17

ORIGINATOR	"Idealliance SCCA Calculator"
DESCRIPTOR	"GRACoL2013 CRPC6 IT8.7-5 (TC1617), Reference Data"
MEASUREMENT_SOURCE	"MeasurementCondition=M1 Filter=D50"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Reference"
CREATED	"4/13/20 11:00 AM"

LGOROWLENGTH	49

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1617
BEGIN_DATA
334	10	0	40	0	67.097	72.670	37.366	88.29	-6.45	26.23
345	20	20	40	0	47.980	49.223	29.432	75.59	1.43	16.08
268	20	70	30	0	30.408	21.647	17.128	53.65	40.12	1.67
368	40	85	40	0	19.117	12.780	11.447	42.43	39.70	-2.79
947	0	20	0	40	30.112	28.525	25.824	60.36	10.09	-4.13
374	55	40	40	0	22.424	23.793	21.765	55.88	-2.35	-4.33
552	85	20	70	0	12.153	19.633	13.212	51.42	-39.91	7.64
858	40	20	40	20	23.938	26.587	19.380	58.59	-7.26	5.21
899	70	10	70	20	13.631	19.765	10.723	51.57	-30.78	15.20
411	0	55	55	0	45.925	35.609	14.172	66.22	36.08	30.59
189	20	100	20	0	24.811	13.516	12.407	43.53	61.43	-3.71
454	55	30	55	0	23.567	27.169	18.258	59.13	-11.22	8.57
1141	100	0	40	60	4.095	6.810	8.226	31.37	-29.74	-11.06
171	0	100	20	0	33.365	17.167	12.039	48.47	73.14	5.87
71	85	85	0	0	8.924	7.134	19.824	32.11	18.80	-41.38
226	85	0	20	0	18.406	27.902	41.934	59.80	-38.83	-28.91
318	100	20	30	0	11.044	17.635	28.259	49.05	-37.57	-27.77
1039	70	70	70	40	5.782	5.638	4.239	28.48	3.98	2.34
1295	60	0	0	0	34.311	42.217	62.993	71.02	-20.77	-32.75
68	85	40	0	0	14.341	16.692	36.880	47.87	-10.39	-42.79
657	0	100	100	0	30.198	16.019	2.298	47.00	68.00	48.00
1006	40	0	40	40	18.691	22.583	15.702	54.64	-15.11	6.76
764	100	70	0	20	6.119	6.147	17.130	29.78	2.11	-39.49
781	20	40	10	20	28.872	25.929	25.710	57.97	15.67	-8.05
127	55	0	10	0	36.079	44.423	54.955	72.51	-21.21	-22.05
93	10	20	10	0	59.720	58.128	50.387	80.81	8.92	-2.76
403	100	70	40	0	6.509	7.491	13.700	32.90	-7.19	-25.61
28	30	0	0	0	56.413	62.427	69.985	83.14	-9.14	-18.38
564	100	55	70	0	6.522	9.522	9.353	36.97	-24.60	-5.46
63	70	100	0	0	10.840	7.015	16.735	31.84	35.11	-35.02
927	20	100	100	20	15.443	9.186	2.235	36.34	45.93	30.18
279	30	100	30	0	20.939	11.902	10.966	41.06	54.59	-3.68
740	10	70	0	20	25.662	17.741	18.749	49.18	40.67	-9.66
1245	0	40	100	80	5.636	5.380	1.354	27.79	5.30	24.68
930	40	20	100	20	20.912	24.303	4.787	56.39	-11.62	47.39
1210	100	70	0	80	1.959	1.959	3.638	15.27	1.66	-16.74
425	20	10	55	0	50.992	55.293	23.841	79.21	-6.05	31.94
494	0	85	70	0	34.917	20.800	6.105	52.73	60.14	34.54
1044	100	70	70	40	3.353	4.091	4.285	23.97	-9.08	-5.70
1262	0	100	0	100	1.605	1.172	0.833	10.35	14.10	2.20
778	20	0	10	20	42.536	46.424	41.771	73.82	-6.53	-4.53
